candidate_id,years_experience,skills,communication,notes
1,4,Java,good,Candidate #1 profile
2,5,JavaScript,strong,Candidate #2 profile
3,6,Go,clear,Candidate #3 profile
4,7,Rust,excellent,Candidate #4 profile
5,8,Python,good,Candidate #5 profile
6,9,Java,strong,Candidate #6 profile
7,10,JavaScript,clear,Candidate #7 profile
8,11,Go,excellent,Candidate #8 profile
9,12,Rust,good,Candidate #9 profile
10,3,Python,strong,Candidate #10 profile
11,4,Java,clear,Candidate #11 profile
12,5,JavaScript,excellent,Candidate #12 profile
13,6,Go,good,Candidate #13 profile
14,7,Rust,strong,Candidate #14 profile
15,8,Python,clear,Candidate #15 profile
16,9,Java,excellent,Candidate #16 profile
17,10,JavaScript,good,Candidate #17 profile
18,11,Go,strong,Candidate #18 profile
19,12,Rust,clear,Candidate #19 profile
20,3,Python,excellent,Candidate #20 profile
21,4,Java,good,Candidate #21 profile
22,5,JavaScript,strong,Candidate #22 profile
23,6,Go,clear,Candidate #23 profile
24,7,Rust,excellent,Candidate #24 profile
25,8,Python,good,Candidate #25 profile
26,9,Java,strong,Candidate #26 profile
27,10,JavaScript,clear,Candidate #27 profile
28,11,Go,excellent,Candidate #28 profile
29,12,Rust,good,Candidate #29 profile
30,3,Python,strong,Candidate #30 profile
31,4,Java,clear,Candidate #31 profile
32,5,JavaScript,excellent,Candidate #32 profile
33,6,Go,good,Candidate #33 profile
34,7,Rust,strong,Candidate #34 profile
35,8,Python,clear,Candidate #35 profile
36,9,Java,excellent,Candidate #36 profile
37,10,JavaScript,good,Candidate #37 profile
38,11,Go,strong,Candidate #38 profile
39,12,Rust,clear,Candidate #39 profile
40,3,Python,excellent,Candidate #40 profile
41,4,Java,good,Candidate #41 profile
42,5,JavaScript,strong,Candidate #42 profile
43,6,Go,clear,Candidate #43 profile
44,7,Rust,excellent,Candidate #44 profile
45,8,Python,good,Candidate #45 profile
46,9,Java,strong,Candidate #46 profile
47,10,JavaScript,clear,Candidate #47 profile
48,11,Go,excellent,Candidate #48 profile
49,12,Rust,good,Candidate #49 profile
50,3,Python,strong,Candidate #50 profile
51,4,Java,clear,Candidate #51 profile
52,5,JavaScript,excellent,Candidate #52 profile
53,6,Go,good,Candidate #53 profile
54,7,Rust,strong,Candidate #54 profile
55,8,Python,clear,Candidate #55 profile
56,9,Java,excellent,Candidate #56 profile
57,10,JavaScript,good,Candidate #57 profile
58,11,Go,strong,Candidate #58 profile
59,12,Rust,clear,Candidate #59 profile
60,3,Python,excellent,Candidate #60 profile
61,4,Java,good,Candidate #61 profile
62,5,JavaScript,strong,Candidate #62 profile
63,6,Go,clear,Candidate #63 profile
64,7,Rust,excellent,Candidate #64 profile
65,8,Python,good,Candidate #65 profile
66,9,Java,strong,Candidate #66 profile
67,10,JavaScript,clear,Candidate #67 profile
68,11,Go,excellent,Candidate #68 profile
69,12,Rust,good,Candidate #69 profile
70,3,Python,strong,Candidate #70 profile
71,4,Java,clear,Candidate #71 profile
72,5,JavaScript,excellent,Candidate #72 profile
73,6,Go,good,Candidate #73 profile
74,7,Rust,strong,Candidate #74 profile
75,8,Python,clear,Candidate #75 profile
76,9,Java,excellent,Candidate #76 profile
77,10,JavaScript,good,Candidate #77 profile
78,11,Go,strong,Candidate #78 profile
79,12,Rust,clear,Candidate #79 profile
80,3,Python,excellent,Candidate #80 profile
81,4,Java,good,Candidate #81 profile
82,5,JavaScript,strong,Candidate #82 profile
83,6,Go,clear,Candidate #83 profile
84,7,Rust,excellent,Candidate #84 profile
85,8,Python,good,Candidate #85 profile
86,9,Java,strong,Candidate #86 profile
87,10,JavaScript,clear,Candidate #87 profile
88,11,Go,excellent,Candidate #88 profile
89,12,Rust,good,Candidate #89 profile
90,3,Python,strong,Candidate #90 profile
91,4,Java,clear,Candidate #91 profile
92,5,JavaScript,excellent,Candidate #92 profile
93,6,Go,good,Candidate #93 profile
94,7,Rust,strong,Candidate #94 profile
95,8,Python,clear,Candidate #95 profile
96,9,Java,excellent,Candidate #96 profile
97,10,JavaScript,good,Candidate #97 profile
98,11,Go,strong,Candidate #98 profile
99,12,Rust,clear,Candidate #99 profile
100,3,Python,excellent,Candidate #100 profile
101,4,Java,good,Candidate #101 profile
102,5,JavaScript,strong,Candidate #102 profile
103,6,Go,clear,Candidate #103 profile
104,7,Rust,excellent,Candidate #104 profile
105,8,Python,good,Candidate #105 profile
106,9,Java,strong,Candidate #106 profile
107,10,JavaScript,clear,Candidate #107 profile
108,11,Go,excellent,Candidate #108 profile
109,12,Rust,good,Candidate #109 profile
110,3,Python,strong,Candidate #110 profile
111,4,Java,clear,Candidate #111 profile
112,5,JavaScript,excellent,Candidate #112 profile
113,6,Go,good,Candidate #113 profile
114,7,Rust,strong,Candidate #114 profile
115,8,Python,clear,Candidate #115 profile
116,9,Java,excellent,Candidate #116 profile
117,10,JavaScript,good,Candidate #117 profile
118,11,Go,strong,Candidate #118 profile
119,12,Rust,clear,Candidate #119 profile
120,3,Python,excellent,Candidate #120 profile
121,4,Java,good,Candidate #121 profile
122,5,JavaScript,strong,Candidate #122 profile
123,6,Go,clear,Candidate #123 profile
124,7,Rust,excellent,Candidate #124 profile
125,8,Python,good,Candidate #125 profile
126,9,Java,strong,Candidate #126 profile
127,10,JavaScript,clear,Candidate #127 profile
128,11,Go,excellent,Candidate #128 profile
129,12,Rust,good,Candidate #129 profile
130,3,Python,strong,Candidate #130 profile
131,4,Java,clear,Candidate #131 profile
132,5,JavaScript,excellent,Candidate #132 profile
133,6,Go,good,Candidate #133 profile
134,7,Rust,strong,Candidate #134 profile
135,8,Python,clear,Candidate #135 profile
136,9,Java,excellent,Candidate #136 profile
137,10,JavaScript,good,Candidate #137 profile
138,11,Go,strong,Candidate #138 profile
139,12,Rust,clear,Candidate #139 profile
140,3,Python,excellent,Candidate #140 profile
141,4,Java,good,Candidate #141 profile
142,5,JavaScript,strong,Candidate #142 profile
143,6,Go,clear,Candidate #143 profile
144,7,Rust,excellent,Candidate #144 profile
145,8,Python,good,Candidate #145 profile
146,9,Java,strong,Candidate #146 profile
147,10,JavaScript,clear,Candidate #147 profile
148,11,Go,excellent,Candidate #148 profile
149,12,Rust,good,Candidate #149 profile
150,3,Python,strong,Candidate #150 profile
151,4,Java,clear,Candidate #151 profile
152,5,JavaScript,excellent,Candidate #152 profile
153,6,Go,good,Candidate #153 profile
